title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"1974 Michigan Ballot Proposal &#39;C&#39;","","","","1974","","","","","","","","","","","","","","application/pdf","","","104510","cdm104510","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104510","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104510.pdf","https://temoshee.github.io/ballotproposals/items/cdm104510.html"
"1974 Michigan Ballot Proposal &#39;D&#39;","","","","1974","","","","","","","","","","","","","","application/pdf","","","104511","cdm104511","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104511","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104511.pdf","https://temoshee.github.io/ballotproposals/items/cdm104511.html"
"1976 Michigan Ballot Proposal &#39;A&#39;","","","","1976","","","","","","","","","","","","","","application/pdf","","","104528","cdm104528","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104528","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104528.pdf","https://temoshee.github.io/ballotproposals/items/cdm104528.html"
"1976 Michigan Ballot Proposal &#39;B&#39;","","","","1976","","","","","","","","","","","","","","application/pdf","","","104525","cdm104525","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104525","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104525.pdf","https://temoshee.github.io/ballotproposals/items/cdm104525.html"
"1976 Michigan Ballot Proposal &#39;C&#39;","","","","1976","","","","","","","","","","","","","","application/pdf","","","104526","cdm104526","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104526","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104526.pdf","https://temoshee.github.io/ballotproposals/items/cdm104526.html"
"1976 Michigan Ballot Proposal &#39;D&#39;","","","","1976","","","","","","","","","","","","","","application/pdf","","","104527","cdm104527","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104527","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104527.pdf","https://temoshee.github.io/ballotproposals/items/cdm104527.html"
"1978 Michigan Ballot Proposal &#39;A&#39;","","","","1978","","","","","","","","","","","","","","application/pdf","","","104513","cdm104513","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104513","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104513.pdf","https://temoshee.github.io/ballotproposals/items/cdm104513.html"
"1978 Michigan Ballot Proposal &#39;B&#39;","","","","1978","","","","","","","","","","","","","","application/pdf","","","104514","cdm104514","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104514","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104514.pdf","https://temoshee.github.io/ballotproposals/items/cdm104514.html"
"1978 Michigan Ballot Proposal &#39;C&#39;","","","","1978","","","","","","","","","","","","","","application/pdf","","","104515","cdm104515","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104515","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104515.pdf","https://temoshee.github.io/ballotproposals/items/cdm104515.html"
"1978 Michigan Ballot Proposal &#39;D&#39;","","","","1978","","","","","","","","","","","","","","application/pdf","","","104516","cdm104516","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104516","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104516.pdf","https://temoshee.github.io/ballotproposals/items/cdm104516.html"
"1978 Michigan Ballot Proposal &#39;E&#39;","","","","1978","","","","","","","","","","","","","","application/pdf","","","104517","cdm104517","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104517","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104517.pdf","https://temoshee.github.io/ballotproposals/items/cdm104517.html"
"1978 Michigan Ballot Proposal &#39;G&#39;","","","","1978","","","","","","","","","","","","","","application/pdf","","","104518","cdm104518","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104518","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104518.pdf","https://temoshee.github.io/ballotproposals/items/cdm104518.html"
"1978 Michigan Ballot Proposal &#39;H&#39;","","","","1978","","","","","","","","","","","","","","application/pdf","","","104519","cdm104519","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104519","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104519.pdf","https://temoshee.github.io/ballotproposals/items/cdm104519.html"
"1978 Michigan Ballot Proposal &#39;J&#39;","","","","1978","","","","","","","","","","","","","","application/pdf","","","104520","cdm104520","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104520","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104520.pdf","https://temoshee.github.io/ballotproposals/items/cdm104520.html"
"1978 Michigan Ballot Proposal &#39;K&#39;","","","","1978","","","","","","","","","","","","","","application/pdf","","","104521","cdm104521","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104521","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104521.pdf","https://temoshee.github.io/ballotproposals/items/cdm104521.html"
"1978 Michigan Ballot Proposal &#39;M&#39;","","","","1978","","","","","","","","","","","","","","application/pdf","","","104522","cdm104522","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104522","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104522.pdf","https://temoshee.github.io/ballotproposals/items/cdm104522.html"
